None
None
[0.0010118484497070312, -817L]
[0.010980844497680664, 809L]
[0.02235698699951172, 1849L]
[0.03407096862792969, 1135L]
[0.04549694061279297, 1421L]
[0.05669879913330078, -448L]
[0.06857991218566895, 747L]
[0.07989692687988281, 814L]
[0.0913848876953125, 2186L]
[0.10294294357299805, -498L]
[0.11437201499938965, -1006L]
[0.12598896026611328, 783L]
[0.13735079765319824, 939L]
[0.1486198902130127, 1180L]
[0.1603689193725586, 589L]
[0.17180800437927246, -84L]
[0.1836378574371338, 588L]
[0.1948549747467041, 408L]
[0.2060718536376953, -431L]
[0.2179248332977295, -1314L]
[0.22924280166625977, -1807L]
[0.24080681800842285, -757L]
[0.2522609233856201, -1453L]
[0.2635078430175781, -521L]
[0.2756459712982178, -113L]
[0.2867109775543213, -1351L]
[0.29797792434692383, 130L]
[0.30977892875671387, 1732L]
[0.3209559917449951, 1075L]
[0.33252596855163574, -1359L]
[0.344174861907959, -2585L]
[0.3554220199584961, -933L]
[0.3674888610839844, -280L]
[0.3786129951477051, 663L]
[0.38988590240478516, 844L]
[0.4016568660736084, 2187L]
[0.4128718376159668, 1875L]
[0.4244518280029297, 535L]
[0.43607592582702637, -755L]
[0.4473450183868408, -330L]
[0.4594128131866455, -792L]
[0.47054195404052734, -2245L]
[0.4818098545074463, -2031L]
[0.4935719966888428, -172L]
[0.5048727989196777, -334L]
[0.5164568424224854, -726L]
[0.527987003326416, 591L]
[0.5392558574676514, 111L]
[0.5510828495025635, 42L]
[0.5624508857727051, 808L]
[0.5737218856811523, 1354L]
[0.5854959487915039, 240L]
[0.5967040061950684, 914L]
[0.6083760261535645, 308L]
[0.6199038028717041, -359L]
[0.6311709880828857, 332L]
[0.6430058479309082, 547L]
[0.654364824295044, 651L]
[0.6656370162963867, 947L]
[0.6773548126220703, 2798L]
[0.6886148452758789, 3213L]
[0.700300931930542, 1396L]
[0.711838960647583, 1562L]
[0.7230830192565918, 1257L]
[0.7349839210510254, 755L]
[0.7462849617004395, 1453L]
[0.7575488090515137, 316L]
[0.7692890167236328, 250L]
[0.7805418968200684, -486L]
[0.7922158241271973, 275L]
[0.8037538528442383, -1623L]
[0.8150289058685303, -1755L]
[0.8268458843231201, -741L]
[0.8382148742675781, -376L]
[0.8495399951934814, -39L]
[0.8612058162689209, -1374L]
[0.8724789619445801, -299L]
[0.8841609954833984, 1400L]
[0.8958609104156494, 1088L]
[0.9069299697875977, 1215L]
[0.9187510013580322, -520L]
[0.9301159381866455, 881L]
[0.9413869380950928, 1L]
[0.9531199932098389, -857L]
[0.9643688201904297, 1064L]
[0.9760968685150146, 1873L]
[0.9875669479370117, 497L]
[0.9988329410552979, 674L]
[1.0106840133666992, 1314L]
[1.0220417976379395, 878L]
[1.0333099365234375, 173L]
[1.045097827911377, -301L]
[1.0562918186187744, -409L]
[1.0679779052734375, -1495L]
[1.0794939994812012, -2695L]
[1.0907609462738037, -1714L]
[1.1025969982147217, 867L]
[1.1139500141143799, 419L]
[1.1252479553222656, -278L]
[1.1369378566741943, -741L]
[1.1482038497924805, 1179L]
[1.1598927974700928, 661L]
[1.1714270114898682, 1382L]
[1.1826670169830322, 1262L]
[1.1945178508758545, -478L]
[1.2058899402618408, -1005L]
[1.2171428203582764, 324L]
[1.2289128303527832, 455L]
[1.240121841430664, -534L]
[1.2518119812011719, -848L]
[1.2633488178253174, 131L]
[1.2745909690856934, -144L]
[1.2864279747009277, -80L]
[1.2977838516235352, 136L]
[1.3090569972991943, -1475L]
[1.3207948207855225, -2435L]
[1.3320438861846924, -1037L]
[1.3437190055847168, -756L]
[1.3553190231323242, 12631L]
[1.4178309440612793, -962L]
[1.429231882095337, 746L]
[1.4407799243927002, -827L]
[1.4525389671325684, -2662L]
[1.463644027709961, -3243L]
[1.4750709533691406, -1953L]
[1.4869909286499023, 845L]
[1.4981048107147217, 3029L]
[1.509531021118164, -365L]
[1.5212509632110596, 178L]
[1.53249192237854, 781L]
[1.5447938442230225, 496L]
[1.5557129383087158, -953L]
[1.5669739246368408, 637L]
[1.5789368152618408, 1110L]
[1.5900068283081055, -105L]
[1.6014468669891357, 350L]
[1.6131789684295654, 1211L]
[1.6244280338287354, -230L]
[1.636612892150879, 972L]
[1.6476218700408936, 869L]
[1.6588900089263916, 101L]
[1.6708359718322754, 81L]
[1.681924819946289, 331L]
[1.6933739185333252, 443L]
[1.7051448822021484, 33L]
[1.7163419723510742, -1340L]
[1.728562831878662, -1277L]
[1.7395498752593994, -457L]
[1.7508118152618408, -401L]
[1.762760877609253, 644L]
[1.7738449573516846, -204L]
[1.7853147983551025, 383L]
[1.7969980239868164, 17L]
[1.8082590103149414, 211L]
[1.8204748630523682, 1405L]
[1.8314578533172607, -234L]
[1.8427319526672363, -373L]
[1.854691982269287, 530L]
[1.8657629489898682, -88L]
[1.877206802368164, 685L]
[1.8889210224151611, -162L]
[1.9001858234405518, 1465L]
[1.912423849105835, 1860L]
[1.92340087890625, 1837L]
[1.9346518516540527, 2045L]
[1.9466190338134766, 1847L]
[1.9576988220214844, 1076L]
[1.969132900238037, 687L]
[1.9808578491210938, 294L]
[1.9921059608459473, -375L]
[2.0044078826904297, -243L]
[2.015371799468994, 1361L]
[2.026573896408081, -833L]
[2.0385539531707764, -781L]
[2.0496058464050293, -1555L]
[2.0610499382019043, -2101L]
[2.0727779865264893, -174L]
[2.084023952484131, -1410L]
[2.0962469577789307, -1948L]
[2.1072239875793457, -923L]
[2.11848783493042, -84L]
[2.130443811416626, 108L]
[2.14152193069458, 404L]
[2.1529648303985596, 1000L]
[2.164698839187622, 671L]
[2.175947904586792, 1060L]
[2.1881418228149414, 1369L]
[2.199131965637207, 1672L]
[2.2104108333587646, 876L]
[2.2223799228668213, 908L]
[2.233536958694458, 696L]
[2.2450459003448486, -383L]
[2.2565948963165283, -1359L]
[2.267866849899292, 653L]
[2.279958963394165, 1028L]
[2.2910618782043457, 1357L]
[2.302327871322632, -39L]
[2.3140909671783447, 845L]
[2.3253448009490967, 1589L]
[2.336899995803833, 787L]
[2.3485188484191895, 67L]
[2.3597748279571533, -849L]
[2.3718819618225098, -343L]
[2.38297700881958, -387L]
[2.3942618370056152, 280L]
[2.406000852584839, 1080L]
[2.417240858078003, 2266L]
[2.4288289546966553, 1803L]
[2.4404828548431396, 756L]
[2.451709032058716, 748L]
[2.4638009071350098, 1203L]
