None
None
[0.0018048286437988281, 6673L]
[0.013444900512695312, 5656L]
[0.0251309871673584, 5693L]
[0.03647780418395996, 7284L]
[0.047841787338256836, 5317L]
[0.059094905853271484, 5014L]
[0.07091999053955078, 3347L]
[0.08230090141296387, 1823L]
[0.09371399879455566, 4999L]
[0.10541701316833496, 3362L]
[0.11678099632263184, 3801L]
[0.1284639835357666, 6570L]
[0.13983488082885742, 4404L]
[0.1510169506072998, 4355L]
[0.16290783882141113, 4380L]
[0.174224853515625, 3376L]
[0.18564391136169434, 3862L]
[0.19732379913330078, 2969L]
[0.20848989486694336, 5426L]
[0.22069883346557617, 7595445L]
[0.28265881538391113, 1257L]
[0.29404783248901367, 346L]
[0.3056027889251709, 1590L]
[0.31719183921813965, 2910L]
[0.328596830368042, 1859L]
[0.33990478515625, 3058L]
[0.3516559600830078, 2289L]
[0.3630869388580322, 2739L]
[0.37444591522216797, 4032L]
[0.38608789443969727, 4294L]
[0.3973398208618164, 4968L]
[0.4093468189239502, 3429L]
[0.4205448627471924, 1616L]
[0.4318068027496338, 3429L]
[0.44377899169921875, 2417L]
[0.4549069404602051, 4649L]
[0.46645092964172363, 6610L]
[0.4779999256134033, 2964L]
[0.4892590045928955, 3138L]
[0.5013778209686279, 1557L]
[0.5124578475952148, 1163L]
[0.5237348079681396, 3118L]
[0.5355689525604248, 1288L]
[0.5467419624328613, 2208L]
[0.5583899021148682, 4607L]
[0.5699939727783203, 4119L]
[0.5811879634857178, 4376L]
[0.5932929515838623, 2776L]
[0.6043899059295654, 338L]
[0.6156539916992188, 1490L]
[0.6274588108062744, 941L]
[0.6386449337005615, 632L]
[0.6503748893737793, 3298L]
[0.66184401512146, 855L]
[0.6731069087982178, 2523L]
[0.6852009296417236, 2107L]
[0.696321964263916, 1180L]
[0.7075870037078857, 3181L]
[0.719390869140625, 2260L]
[0.7305769920349121, 1968L]
[0.742236852645874, 3162L]
[0.7537779808044434, 2116L]
[0.76503586769104, 2587L]
[0.7771549224853516, 2562L]
[0.7882559299468994, 178L]
[0.7995069026947021, 1841L]
[0.8112998008728027, 1444L]
[0.8224999904632568, 4599L]
[0.8341648578643799, 4659L]
[0.8457238674163818, 1304L]
[0.8569588661193848, 2961L]
[0.869053840637207, 2956L]
[0.8802440166473389, 2028L]
[0.8914368152618408, 4474L]
[0.9032528400421143, 3191L]
[0.9144389629364014, 2748L]
[0.9260859489440918, 3086L]
[0.9376509189605713, 1252L]
[0.9488909244537354, 1948L]
[0.9609940052032471, 1639L]
[0.9721028804779053, -338L]
[0.983353853225708, 3016L]
[0.9951789379119873, 1894L]
[1.00636887550354, 1303L]
[1.018021821975708, 3485L]
[1.0296268463134766, 1881L]
[1.0408248901367188, 3230L]
[1.0529258251190186, 3903L]
[1.0640249252319336, 1766L]
[1.0752878189086914, 3889L]
[1.0871038436889648, 2694L]
[1.098275899887085, 2421L]
[1.109994888305664, 2340L]
[1.121473789215088, 1693L]
[1.1327300071716309, 3577L]
[1.144840955734253, 3625L]
[1.1559507846832275, 1930L]
[1.1672098636627197, 2021L]
[1.1790118217468262, 909L]
[1.1902148723602295, 2323L]
[1.2018678188323975, 1091L]
[1.213404893875122, -180L]
[1.2246708869934082, 3159L]
[1.2367429733276367, 2654L]
[1.2478728294372559, 1149L]
[1.259140968322754, 2552L]
[1.2709338665008545, 1757L]
[1.2821509838104248, 2547L]
[1.2937970161437988, 4009L]
[1.3053529262542725, 1420L]
[1.3165898323059082, 3074L]
[1.3286678791046143, 3823L]
[1.3398699760437012, 1642L]
[1.351064920425415, 2530L]
[1.3629238605499268, 1457L]
[1.3743879795074463, 675L]
[1.3858997821807861, 1309L]
[1.3973968029022217, 1088L]
[1.4086158275604248, 2210L]
[1.420576810836792, 2235L]
[1.4318459033966064, 2101L]
[1.443086862564087, 3773L]
[1.4548349380493164, 2153L]
[1.4660589694976807, 1841L]
[1.4780948162078857, 1749L]
[1.4893238544464111, 137L]
[1.5005519390106201, 1970L]
[1.512455940246582, 2273L]
[1.5237479209899902, 502L]
[1.535139799118042, 2975L]
[1.5467720031738281, 3029L]
[1.5579979419708252, 3700L]
[1.5703659057617188, 3613L]
[1.581244945526123, 1250L]
[1.5924808979034424, 2578L]
[1.6045939922332764, 1177L]
[1.61568284034729, 527L]
[1.6271898746490479, 1854L]
[1.638706922531128, 140L]
[1.6499559879302979, 1090L]
[1.6623179912567139, 1997L]
[1.6731538772583008, 747L]
[1.684403896331787, 2180L]
[1.6962080001831055, 785L]
[1.7074029445648193, 1257L]
[1.7191169261932373, 2300L]
[1.7306368350982666, 255L]
[1.7418408393859863, 1844L]
[1.75425386428833, 2370L]
[1.7651100158691406, 2493L]
[1.776338815689087, 3659L]
[1.7881958484649658, 2202L]
[1.7993359565734863, 2043L]
[1.8110389709472656, 3076L]
[1.822551965713501, 2017L]
[1.833786964416504, 3946L]
[1.8461828231811523, 3307L]
[1.8570218086242676, 2049L]
[1.8682668209075928, 1864L]
[1.8802239894866943, 642L]
[1.8912558555603027, 1042L]
[1.9029669761657715, 3076L]
[1.914475917816162, 1705L]
[1.9257299900054932, 2426L]
[1.9381070137023926, 2825L]
[1.9489829540252686, 1593L]
[1.960230827331543, 3414L]
[1.972181797027588, 1709L]
[1.983191967010498, 349L]
[1.9948859214782715, 503L]
[2.006420850753784, -565L]
[2.0176498889923096, 1386L]
[2.030129909515381, 3144L]
[2.040879011154175, 2828L]
[2.0521178245544434, 3307L]
[2.063983917236328, 1798L]
[2.075119972229004, 416L]
[2.0868148803710938, 823L]
[2.098356008529663, -14L]
[2.109614849090576, 1037L]
[2.121987819671631, -194L]
[2.13279390335083, 219L]
[2.144030809402466, 3584L]
[2.155864953994751, 1919L]
[2.1670329570770264, 186L]
[2.1787338256835938, 1160L]
[2.19030499458313, 836L]
[2.2014999389648438, 2502L]
[2.2138710021972656, 1149L]
[2.224714994430542, 405L]
[2.2359619140625, 2213L]
[2.2478067874908447, 466L]
[2.258931875228882, 519L]
[2.2706618309020996, 2368L]
[2.282167911529541, 1631L]
[2.2934420108795166, 1230L]
[2.3057608604431152, 957L]
[2.3166449069976807, 594L]
[2.327863931655884, 2273L]
[2.339747905731201, 2458L]
[2.350857973098755, 2845L]
[2.3625869750976562, 922L]
[2.3741087913513184, 1788L]
[2.385347843170166, 1930L]
[2.397692918777466, 1576L]
[2.408580780029297, 1736L]
[2.4198408126831055, 2093L]
[2.4316329956054688, 780L]
[2.4428179264068604, 1860L]
[2.4545249938964844, 1627L]
[2.466036796569824, 239L]
[2.4772818088531494, 820L]
[2.489661931991577, 2499L]
[2.5005698204040527, 1296L]
[2.5117249488830566, 2049L]
[2.52355694770813, 688L]
[2.534726858139038, 530L]
[2.5464539527893066, 3016L]
[2.5580039024353027, 1729L]
[2.5691919326782227, 2809L]
[2.58161997795105, 3258L]
[2.5924179553985596, 992L]
[2.603667974472046, 1745L]
[2.615506887435913, 1247L]
[2.62664794921875, 1269L]
[2.638355016708374, 2520L]
[2.6499669551849365, 1793L]
[2.6611268520355225, 2017L]
[2.673508882522583, 488L]
[2.6843388080596924, 1606L]
[2.69559383392334, 3021L]
[2.7074179649353027, -388L]
[2.718575954437256, 22L]
[2.7303719520568848, 2629L]
[2.7418220043182373, 1890L]
[2.753031015396118, 2328L]
[2.7654409408569336, 1623L]
[2.776265859603882, 480L]
[2.7875189781188965, 2057L]
[2.7993268966674805, 941L]
[2.8105030059814453, 1147L]
[2.822197914123535, 2023L]
[2.8337228298187256, 887L]
[2.8449618816375732, 2055L]
[2.8573169708251953, 7595445L]
[2.919193983078003, 2177L]
[2.9306178092956543, 799L]
[2.9421498775482178, 1028L]
[2.9537668228149414, 1694L]
[2.9651758670806885, 2147L]
[2.9764089584350586, 2780L]
[2.9882869720458984, 6L]
[2.999656915664673, -457L]
[3.010986804962158, 1780L]
[3.02254581451416, 1094L]
[3.0346717834472656, 1518L]
[3.0457329750061035, 1689L]
[3.0570268630981445, 933L]
[3.0683000087738037, 2553L]
[3.080166816711426, 1461L]
[3.14270281791687, 943L]
[3.154125928878784, 255L]
[3.165665864944458, 1506L]
[3.177245855331421, 1854L]
[3.1886608600616455, 539L]
[3.19992995262146, 1880L]
[3.2116827964782715, 1843L]
[3.2231388092041016, 1546L]
[3.234635829925537, 1223L]
[3.2461090087890625, 1528L]
[3.257356882095337, 4178L]
