None
None
[0.001135110855102539, -1334L]
[0.004375934600830078, -468L]
[0.015893936157226562, -83L]
[0.027447938919067383, 469L]
[0.03888893127441406, -935L]
[0.05054903030395508, -1481L]
[0.06178712844848633, 1096L]
[0.07333803176879883, 602L]
[0.08482193946838379, -280L]
[0.09605813026428223, 340L]
[0.10791492462158203, 1477L]
[0.1192619800567627, 2230L]
[0.1306169033050537, 2006L]
[0.14226293563842773, 529L]
[0.15370392799377441, -449L]
[0.16538596153259277, -1331L]
[0.17670702934265137, -744L]
[0.18794798851013184, 634L]
[0.19977593421936035, -890L]
[0.21118998527526855, -486L]
[0.22259998321533203, -76L]
[0.234144926071167, -368L]
[0.24540209770202637, -794L]
[0.25758790969848633, -1681L]
[0.26860809326171875, -2023L]
[0.2798581123352051, -661L]
[0.2916879653930664, 626L]
[0.302839994430542, -762L]
[0.31450891494750977, -871L]
[0.32604193687438965, -264L]
[0.337299108505249, -1146L]
[0.3493809700012207, -939L]
[0.3605170249938965, -807L]
[0.3717689514160156, -283L]
[0.38352203369140625, -619L]
[0.3947489261627197, -380L]
[0.40644001960754395, 719L]
[0.41797709465026855, -206L]
[0.42922210693359375, -37L]
[0.44141507148742676, -755L]
[0.4524109363555908, -1526L]
[0.46367406845092773, -451L]
[0.4754319190979004, 100L]
[0.48665690422058105, 316L]
[0.4983329772949219, 524L]
[0.509890079498291, -1136L]
[0.5211601257324219, -1628L]
[0.5332989692687988, -1525L]
[0.5443220138549805, -1072L]
[0.5555870532989502, -396L]
[0.5673439502716064, -188L]
[0.5785670280456543, 612L]
[0.5902500152587891, -667L]
[0.6018540859222412, -1859L]
[0.613029956817627, 0L]
[0.6252360343933105, -816L]
[0.6362340450286865, -1597L]
[0.6474950313568115, -426L]
[0.6592679023742676, -770L]
[0.6704809665679932, -575L]
[0.6821529865264893, -185L]
[0.6936979293823242, -16L]
[0.704948902130127, -1041L]
[0.7171070575714111, -744L]
[0.7281489372253418, -344L]
[0.7394180297851562, -26L]
[0.7512381076812744, -632L]
[0.7623989582061768, -478L]
[0.7740869522094727, -912L]
[0.7855989933013916, -1551L]
[0.7968640327453613, -1928L]
[0.8089981079101562, -227L]
[0.820073127746582, -606L]
[0.8313579559326172, -1571L]
[0.8430850505828857, -2000L]
[0.8543128967285156, -803L]
[0.8659870624542236, -1270L]
[0.877547025680542, -956L]
[0.8887720108032227, -371L]
[0.9008541107177734, -2252L]
[0.9119939804077148, -2076L]
[0.9232399463653564, -985L]
[0.9350121021270752, -1008L]
[0.9462289810180664, -2311L]
[0.9579129219055176, -1536L]
[0.9694559574127197, -281L]
[0.9806919097900391, -421L]
[0.9928300380706787, 180L]
[1.0038940906524658, 928L]
[1.015152931213379, 574L]
[1.0269980430603027, -2052L]
[1.0381441116333008, -711L]
[1.0498199462890625, -242L]
[1.0614330768585205, -2453L]
[1.1241440773010254, -1075L]
[1.1355600357055664, -1911L]
[1.1470859050750732, -1178L]
[1.1587629318237305, 362L]
[1.1700870990753174, -1392L]
[1.1813819408416748, -2459L]
[1.193234920501709, -2505L]
[1.204538106918335, 77L]
[1.2159340381622314, 1622L]
[1.231208086013794, 18L]
[1.238990068435669, 448L]
[1.2509889602661133, 173L]
