None
None
[0.00096893310546875, -741L]
[0.007376909255981445, 123L]
[0.018931865692138672, 755L]
[0.03097391128540039, 3555L]
[0.042211055755615234, -144L]
[0.053277015686035156, 2861L]
[0.06451797485351562, -187L]
[0.07636094093322754, -1638L]
[0.08775186538696289, -143L]
[0.09920096397399902, 1430L]
[0.11088299751281738, -1384L]
[0.12215590476989746, -557L]
[0.13409900665283203, 296L]
[0.14519000053405762, 4L]
[0.15656304359436035, -710L]
[0.16821908950805664, -965L]
[0.17964887619018555, -80L]
[0.1911160945892334, 809L]
[0.20264005661010742, 1734L]
[0.21387600898742676, 761L]
[0.22584795951843262, -276L]
[0.23708486557006836, -938L]
[0.24834704399108887, 712L]
[0.2600820064544678, 234L]
[0.27133798599243164, -375L]
[0.2831540107727051, 65L]
[0.2945239543914795, -410L]
[0.3057899475097656, -580L]
[0.3176569938659668, 637L]
[0.3290069103240967, 432L]
[0.34035205841064453, 690L]
[0.35198307037353516, 2677L]
[0.36324095726013184, 2946L]
[0.3753640651702881, 669L]
[0.3864579200744629, -957L]
[0.3977069854736328, -566L]
[0.4096250534057617, 232L]
[0.42072105407714844, 883L]
[0.43227100372314453, -129L]
[0.44390201568603516, -1199L]
[0.4551560878753662, -547L]
[0.4672660827636719, 300L]
[0.47843503952026367, 467L]
[0.4896209239959717, 544L]
[0.5015609264373779, 344L]
[0.512671947479248, 406L]
[0.5242018699645996, 1177L]
[0.5358378887176514, 1246L]
[0.5470790863037109, -483L]
[0.5593230724334717, 54419L]
[0.621527910232544, 1040L]
[0.6329028606414795, 221L]
[0.6444568634033203, 32L]
[0.6561379432678223, -1787L]
[0.6674590110778809, -1175L]
[0.6787619590759277, -460L]
[0.6905639171600342, -770L]
[0.7019290924072266, 3L]
[0.7132940292358398, -369L]
[0.7249429225921631, 418L]
[0.7361810207366943, 1631L]
[0.7483079433441162, 1256L]
[0.7594099044799805, 288L]
[0.7706508636474609, 501L]
[0.7825949192047119, -240L]
[0.7936649322509766, -1343L]
[0.8052198886871338, -1502L]
[0.8168420791625977, -212L]
[0.8280959129333496, -404L]
[0.8402149677276611, 196L]
[0.8513050079345703, 1284L]
[0.8625569343566895, 921L]
[0.8744978904724121, -1114L]
[0.8855738639831543, -2471L]
[0.8971400260925293, 100L]
[0.9088280200958252, 1235L]
[0.9715240001678467, -1057L]
[0.9828939437866211, 1052L]
[0.9944489002227783, 73L]
[1.0061399936676025, 1338L]
[1.0174479484558105, -403L]
[1.028749942779541, -2084L]
[1.0405700206756592, -1585L]
[1.0519208908081055, -678L]
[1.0632998943328857, 1009L]
[1.0749318599700928, 1322L]
[1.0861868858337402, 485L]
[1.0983080863952637, -1282L]
[1.109400987625122, -675L]
[1.1206519603729248, -643L]
[1.1326029300689697, -1399L]
[1.1436688899993896, -45L]
[1.155221939086914, 318L]
[1.1668529510498047, -326L]
[1.1780979633331299, 458L]
[1.1902110576629639, 888L]
[1.2013089656829834, -1177L]
[1.2125718593597412, -1087L]
[1.2245259284973145, 188L]
[1.2355990409851074, 569L]
[1.2471449375152588, 673L]
[1.2588400840759277, 704L]
[1.2700190544128418, -477L]
[1.282120943069458, -369L]
[1.2932238578796387, 251L]
[1.3044860363006592, 1093L]
[1.316443920135498, 852L]
[1.3275079727172852, 1574L]
[1.3391060829162598, 722L]
[1.3506829738616943, -1191L]
[1.3619389533996582, -1369L]
[1.3740739822387695, -663L]
[1.3851490020751953, -454L]
[1.3964080810546875, 958L]
[1.408341884613037, 891L]
[1.4194269180297852, 1616L]
[1.430985927581787, 1399L]
[1.4426000118255615, 69L]
[1.4540979862213135, -455L]
[1.4657979011535645, -1227L]
[1.4770848751068115, -867L]
[1.488342046737671, 568L]
[1.5002858638763428, -653L]
[1.511354923248291, -634L]
[1.5229198932647705, 854L]
[1.5345370769500732, -766L]
[1.5457820892333984, -437L]
[1.5579149723052979, -1574L]
[1.569084882736206, -1336L]
[1.580251932144165, -1358L]
[1.5922410488128662, 27L]
[1.6033508777618408, 174L]
[1.6149089336395264, 232L]
[1.6264638900756836, 776L]
[1.6377129554748535, 410L]
[1.6498239040374756, -1614L]
[1.660902976989746, -1992L]
[1.672173023223877, -743L]
[1.6839208602905273, -718L]
[1.6951539516448975, -547L]
[1.70682692527771, 221L]
[1.7184178829193115, -792L]
[1.7296268939971924, -947L]
[1.7417559623718262, -610L]
[1.7528278827667236, 420L]
[1.7640960216522217, -206L]
[1.7758469581604004, 231L]
[1.7870709896087646, -184L]
[1.7987940311431885, 124L]
[1.8102738857269287, 248L]
[1.8215370178222656, -1038L]
[1.8336498737335205, -288L]
[1.8447389602661133, 927L]
[1.856039047241211, 37L]
[1.868001937866211, -1468L]
[1.879364013671875, -77L]
[1.8907299041748047, 990L]
[1.9021899700164795, 181L]
[1.9134559631347656, -62L]
[1.9255919456481934, 55L]
[1.9366579055786133, 563L]
[1.9479219913482666, -1357L]
[1.9596738815307617, -352L]
[1.9709088802337646, -726L]
[1.9825899600982666, -813L]
[1.9941198825836182, -2273L]
[2.005424976348877, 325L]
[2.0175020694732666, 2221L]
[2.0286409854888916, 750L]
[2.0398449897766113, -1114L]
[2.051598072052002, -887L]
[2.0628280639648438, -1313L]
[2.0745010375976562, -1343L]
[2.0860540866851807, -1295L]
[2.0972890853881836, -2407L]
[2.1094729900360107, 1037459L]
[2.171539068222046, 306L]
[2.1829428672790527, -1332L]
[2.1944730281829834, 175L]
[2.2060818672180176, -1472L]
[2.2174739837646484, -1563L]
[2.228771924972534, -336L]
[2.2405099868774414, -124L]
[2.251957893371582, 59L]
[2.2633070945739746, 317L]
[2.274959087371826, -414L]
[2.286202907562256, 1064L]
[2.2983200550079346, 619L]
[2.30941104888916, -1900L]
[2.3206729888916016, -914L]
[2.3326449394226074, -92L]
[2.3437039852142334, -87L]
[2.355268955230713, -349L]
[2.3668859004974365, 533L]
[2.3781349658966064, 1696L]
[2.390246868133545, 386L]
[2.4013419151306152, -144L]
[2.412597894668579, 161L]
[2.424592971801758, -86L]
[2.435631036758423, -142L]
[2.447166919708252, -923L]
[2.4588658809661865, 282L]
[2.4700489044189453, 595L]
[2.4821648597717285, -315L]
[2.493259906768799, -723L]
[2.504520893096924, -281L]
[2.5164339542388916, 2847L]
[2.527534008026123, 2192L]
[2.539128065109253, -638L]
[2.550708055496216, -2154L]
[2.561979055404663, -671L]
[2.5741419792175293, 5L]
[2.585186004638672, -1697L]
[2.5964460372924805, -205L]
[2.6084470748901367, -2L]
[2.6194629669189453, -774L]
[2.631021022796631, 228L]
[2.642648935317993, -126L]
[2.653903007507324, 249L]
[2.6660208702087402, 1269L]
[2.6771340370178223, 376L]
[2.688401937484741, 33L]
[2.700291872024536, 41L]
[2.71138596534729, -225L]
[2.7229599952697754, -2109L]
[2.7345850467681885, -1396L]
[2.7458438873291016, 443L]
[2.7580039501190186, 369L]
[2.769106864929199, -655L]
[2.780297040939331, -1350L]
[2.792257070541382, -1696L]
[2.8033339977264404, -103L]
[2.8148880004882812, 1965L]
[2.826507091522217, 565L]
[2.8377480506896973, 412L]
[2.8497989177703857, 213L]
[2.8609628677368164, -357L]
[2.872220039367676, -537L]
[2.8841729164123535, -1527L]
[2.895235061645508, 20L]
[2.90680193901062, -168L]
[2.9184839725494385, -1181L]
[2.929677963256836, -1145L]
[2.9417428970336914, -1512L]
[2.9536290168762207, -1453L]
[2.9651808738708496, -176L]
[2.9761440753936768, 255L]
[2.987185001373291, -268L]
[2.998763084411621, 32L]
[3.010326862335205, -788L]
[3.021591901779175, -533L]
[3.033655881881714, -612L]
[3.044796943664551, -1105L]
[3.056062936782837, -986L]
[3.0680229663848877, -1145L]
[3.079103946685791, 231L]
[3.0906388759613037, 1467L]
[3.1022439002990723, 1171L]
[3.1135079860687256, 1980L]
[3.125607967376709, 162L]
[3.136728048324585, -1074L]
[3.147974967956543, 1058L]
[3.1599318981170654, 1658L]
[3.1709978580474854, -546L]
[3.182537078857422, -497L]
[3.19419002532959, -160L]
[3.2054309844970703, -279L]
[3.2175490856170654, -222L]
[3.228708028793335, 137L]
[3.2399020195007324, -863L]
[3.251858949661255, -2120L]
[3.262916088104248, -414L]
[3.2744688987731934, 1838L]
[3.2861108779907227, -178L]
