None
None
[0.001138925552368164, 300L]
[0.00840306282043457, 987L]
[0.019964933395385742, 1036211L]
[0.08223390579223633, -1071L]
[0.0936439037322998, -341L]
[0.10520696640014648, -162L]
[0.1169579029083252, -336L]
[0.1282660961151123, -279L]
[0.13944602012634277, -421L]
[0.1514270305633545, -1659L]
[0.16266608238220215, -2460L]
[0.17403101921081543, -825L]
[0.18574810028076172, -889L]
[0.19713187217712402, 13L]
[0.20890498161315918, 189L]
[0.22011590003967285, 229L]
[0.2313520908355713, -802L]
[0.24332690238952637, -1016L]
[0.2545778751373291, -8L]
[0.2660219669342041, -695L]
[0.27759408950805664, -1826L]
[0.2888031005859375, -914L]
[0.30103492736816406, 933L]
[0.3120300769805908, 437L]
[0.32326793670654297, -1511L]
[0.3351130485534668, -1486L]
[0.3462538719177246, -557L]
[0.35796308517456055, -754L]
[0.36948299407958984, 370L]
[0.38071489334106445, 166L]
[0.3929460048675537, -539L]
[0.4039340019226074, -773L]
[0.4151780605316162, -610L]
[0.42696309089660645, -1061L]
[0.43819499015808105, -1757L]
[0.4498710632324219, -1399L]
[0.4613950252532959, -1224L]
[0.47263598442077637, 370L]
[0.4848780632019043, 2434L]
[0.4958629608154297, 362L]
[0.5071470737457275, -1519L]
[0.5189828872680664, -684L]
[0.5300939083099365, 445L]
[0.5418100357055664, -130L]
[0.553325891494751, 454L]
[0.5645589828491211, -53L]
[0.5767788887023926, -904L]
[0.5877969264984131, -2730L]
[0.5990209579467773, -1762L]
[0.6108019351959229, -1223L]
[0.6220090389251709, -655L]
[0.6337189674377441, 884L]
[0.6452488899230957, -423L]
[0.6564669609069824, 411L]
[0.6687600612640381, 179L]
[0.7311999797821045, -425L]
[0.742595911026001, -509L]
[0.7541530132293701, 366L]
[0.7658469676971436, -560L]
[0.7771449089050293, -967L]
[0.7884500026702881, -830L]
[0.8002688884735107, -2129L]
[0.811614990234375, -1327L]
[0.822969913482666, 334L]
[0.8346378803253174, -134L]
[0.8458518981933594, 1924L]
[0.8581230640411377, 571L]
[0.8690810203552246, -342L]
[0.880328893661499, -618L]
[0.8923490047454834, -1283L]
[0.903357982635498, -3L]
[0.914923906326294, 1062L]
[0.926551103591919, 587L]
[0.9377729892730713, 983L]
[0.949505090713501, 690L]
[0.9609529972076416, -1462L]
[0.9722070693969727, -2346L]
[0.9842150211334229, -2529L]
[0.9952399730682373, -2374L]
[1.006782054901123, -969L]
[1.0184788703918457, -509L]
[1.0296630859375, 1190L]
[1.0417919158935547, 552L]
[1.0528640747070312, -1820L]
[1.0641279220581055, -922L]
[1.0761029720306396, -802L]
[1.0871520042419434, -157L]
[1.0987510681152344, 826L]
[1.1103229522705078, 1146L]
[1.121579885482788, 302L]
[1.1337878704071045, -313L]
[1.1447908878326416, 51L]
[1.156054973602295, -1400L]
[1.1680901050567627, -2426L]
[1.179075002670288, -2779L]
[1.190629005432129, -328L]
[1.2022490501403809, 875L]
[1.2135009765625, 1507L]
[1.2256560325622559, 900L]
[1.2367289066314697, 431L]
[1.2479798793792725, -609L]
[1.2599420547485352, -1593L]
[1.2709929943084717, 211L]
[1.2825500965118408, 469L]
[1.294179916381836, -78L]
[1.3054330348968506, -221L]
[1.3176250457763672, 395L]
[1.3287289142608643, -260L]
[1.3398900032043457, -899L]
[1.3518860340118408, -2450L]
[1.3629169464111328, -1694L]
[1.3744759559631348, 360L]
[1.3861000537872314, 994L]
[1.397334098815918, -162L]
[1.4094529151916504, -1344L]
[1.4205379486083984, -894L]
[1.431804895401001, -1222L]
[1.4437739849090576, -2291L]
[1.454822063446045, -2023L]
[1.4663848876953125, 27L]
[1.4780809879302979, -1220L]
[1.489259958267212, -1243L]
[1.501338005065918, 285L]
[1.512455940246582, -1834L]
[1.5237200260162354, -1920L]
[1.5357449054718018, -697L]
[1.5467469692230225, 71L]
[1.5583620071411133, -1350L]
[1.569917917251587, -185L]
[1.5811750888824463, 1713L]
[1.593290090560913, 1222L]
[1.6043729782104492, 680L]
[1.6156408786773682, 1078L]
[1.627608060836792, 920L]
[1.6386768817901611, 1466L]
[1.6502189636230469, 1547L]
[1.661837100982666, 571L]
[1.6730880737304688, 834L]
[1.6852328777313232, -125L]
[1.6963090896606445, -1166L]
[1.7075541019439697, 451L]
[1.7195398807525635, 292L]
[1.7305760383605957, -1054L]
[1.7421329021453857, -548L]
[1.7537600994110107, 653L]
[1.7649989128112793, 1330L]
[1.7765259742736816, 1675L]
[1.7882969379425049, -326L]
[1.7997050285339355, 670L]
[1.8114900588989258, 1333L]
[1.822556972503662, -65L]
[1.8340609073638916, -365L]
[1.8456919193267822, 483L]
[1.8569250106811523, 663L]
[1.8691329956054688, 472L]
[1.880120038986206, 73L]
[1.891390085220337, 547L]
[1.9033620357513428, -1489L]
[1.9144020080566406, -1231L]
[1.925973892211914, 1202L]
[1.9375929832458496, 847L]
[1.9488389492034912, 1627L]
[1.9609179496765137, 233L]
[1.9720489978790283, -791L]
[1.9833018779754639, 683L]
[1.9952750205993652, 1373L]
[2.0063509941101074, -23L]
[2.01788592338562, -2185L]
[2.029503107070923, -1584L]
[2.0407629013061523, -294L]
[2.0528860092163086, 583L]
[2.063961982727051, 256L]
[2.075221061706543, 1341L]
[2.0872139930725098, 2750L]
[2.0982789993286133, 2118L]
[2.1098129749298096, -2099L]
[2.1214120388031006, -2860L]
[2.1326770782470703, -807L]
[2.1448380947113037, -771L]
[2.155881881713867, -634L]
[2.167135000228882, 26L]
[2.1791319847106934, 596L]
[2.1901559829711914, 339L]
[2.2017149925231934, 563L]
[2.2133491039276123, 780L]
[2.224592924118042, 26L]
[2.236751079559326, -1040L]
[2.2478160858154297, -759L]
[2.2590689659118652, -891L]
[2.271070957183838, -1383L]
[2.282094955444336, -545L]
[2.293644905090332, -923L]
[2.3052608966827393, -1616L]
[2.3165040016174316, -784L]
[2.3287739753723145, -789L]
[2.391162872314453, 324L]
[2.4025559425354004, -728L]
[2.414108991622925, 648L]
[2.425766944885254, 231L]
[2.437095880508423, -155L]
[2.448395013809204, 231L]
[2.4602110385894775, 181L]
[2.471561908721924, -16L]
[2.4829530715942383, 743L]
[2.494584083557129, -379L]
[2.5058300495147705, -2329L]
[2.5181009769439697, 213L]
[2.529031991958618, 1369L]
[2.5403149127960205, 1369L]
[2.552298069000244, -438L]
[2.5633339881896973, -812L]
[2.5748698711395264, -171L]
[2.586498975753784, -640L]
[2.597759962081909, -672L]
[2.6098549365997314, 432L]
[2.620958089828491, 1L]
[2.6323299407958984, -475L]
[2.6440958976745605, -100L]
[2.65537691116333, -1323L]
[2.6667919158935547, 219L]
[2.6784729957580566, 571L]
[2.689655065536499, -301L]
[2.701793909072876, 29L]
[2.712857961654663, 1694L]
[2.724123954772949, 740L]
[2.7361130714416504, -673L]
[2.747135877609253, 582L]
[2.758737087249756, 356L]
[2.7703049182891846, -834L]
[2.7815749645233154, -685L]
[2.7935540676116943, -1122L]
[2.804774045944214, -834L]
[2.816045045852661, -324L]
[2.8280839920043945, -167L]
[2.8390679359436035, -1178L]
[2.8506200313568115, -1034L]
[2.8622329235076904, -1179L]
[2.873483896255493, -710L]
[2.8856570720672607, -965L]
[2.896714925765991, 135L]
[2.9079620838165283, 127L]
[2.9199490547180176, -715L]
[2.9309849739074707, -1262L]
[2.9425430297851562, -1328L]
[2.9541680812835693, -109L]
[2.9654109477996826, -147L]
[2.977566957473755, -308L]
[2.988692045211792, -19L]
[2.999880075454712, 1084L]
[3.0118870735168457, 402L]
[3.022907018661499, 727L]
[3.034458875656128, 1468L]
[3.0460970401763916, 1033L]
[3.057328939437866, -867L]
[3.0694899559020996, -1161L]
[3.0813190937042236, 436L]
[3.091827869415283, 1399L]
[3.1038200855255127, 490L]
[3.1148250102996826, -933L]
[3.1263771057128906, 601L]
[3.138047933578491, 955L]
[3.149247884750366, 795L]
[3.161405086517334, -418L]
[3.172447919845581, -385L]
[3.183716058731079, -145L]
[3.1957008838653564, 982L]
[3.2067220211029053, 32L]
[3.218334913253784, -1330L]
[3.2298970222473145, -1700L]
[3.2411608695983887, -605L]
[3.2532589435577393, 77L]
[3.264362096786499, -580L]
[3.275624990463257, -179L]
[3.28759503364563, 130L]
[3.298671007156372, -861L]
[3.3102219104766846, -81L]
[3.3218109607696533, 184L]
[3.333070993423462, 277L]
[3.345201015472412, -254L]
[3.356276035308838, -1605L]
[3.3675379753112793, -1566L]
[3.379499912261963, -1368L]
[3.390554904937744, 631L]
[3.402113914489746, -436L]
[3.4137489795684814, -2071L]
[3.424989938735962, -1492L]
[3.4371180534362793, -1150L]
[3.4518659114837646, -1255L]
[3.459557056427002, -1100L]
[3.4715099334716797, -1247L]
[3.482480049133301, -1872L]
[3.4940340518951416, -425L]
[3.5056509971618652, 56L]
[3.5169010162353516, -759L]
[3.5291099548339844, 53171L]
[3.5911378860473633, 431L]
[3.6025390625, 139L]
[3.6140830516815186, 139L]
[3.625771999359131, -150L]
[3.637073040008545, 1143L]
[3.648386001586914, 634L]
[3.6601850986480713, -317L]
[3.6715519428253174, 296L]
[3.6829299926757812, 627L]
[3.6945688724517822, 997L]
[3.7058119773864746, 94L]
[3.7180891036987305, 126L]
[3.729016065597534, 312L]
[3.740269899368286, -125L]
[3.7522928714752197, 902L]
[3.7632899284362793, 399L]
[3.7748570442199707, -1060L]
[3.7864840030670166, -539L]
[3.7977230548858643, -239L]
[3.809865951538086, -1442L]
[3.8209280967712402, -123L]
[3.832185983657837, 370L]
[3.844153881072998, -698L]
[3.855210065841675, -670L]
[3.8667750358581543, -1388L]
[3.878458023071289, -1869L]
[3.9411399364471436, -1306L]
[3.952522039413452, -1672L]
[3.964082956314087, -1226L]
[3.9757630825042725, -463L]
[3.9870800971984863, 552L]
[3.9983789920806885, 1112L]
[4.010201930999756, -208L]
[4.021550893783569, 184L]
[4.032942056655884, 333L]
[4.0445640087127686, -891L]
[4.055815935134888, -247L]
[4.067950963973999, -631L]
[4.07902193069458, -199L]
[4.090274095535278, 543L]
[4.102293014526367, 1333L]
[4.113300085067749, 264L]
[4.124871015548706, -41L]
[4.136478900909424, -2273L]
[4.147727966308594, -1729L]
[4.159916877746582, -1895L]
[4.170933961868286, -2120L]
[4.182199954986572, -853L]
[4.194169998168945, -720L]
[4.205215930938721, -1358L]
[4.216770887374878, -639L]
[4.228466987609863, 819L]
[4.291177034378052, -702L]
[4.302574872970581, 15L]
[4.3140928745269775, 1492L]
[4.325764894485474, 860L]
[4.337085962295532, -1056L]
[4.348376035690308, -325L]
[4.3602190017700195, -242L]
[4.3715500831604, -1766L]
[4.3828370571136475, -2082L]
[4.394561052322388, -2901L]
[4.4058098793029785, -2706L]
[4.417672872543335, -1717L]
[4.429018974304199, -843L]
[4.440262079238892, -490L]
[4.452154874801636, -742L]
[4.463453054428101, 156L]
[4.474956035614014, 1813L]
[4.486479997634888, 2119L]
[4.497725009918213, 1176L]
[4.50988507270813, 233L]
[4.520910978317261, -1001L]
[4.532186985015869, -933L]
[4.54419207572937, -470L]
[4.555207014083862, 364L]
[4.566751003265381, 69L]
[4.578458070755005, 115L]
[4.6411449909210205, -2073L]
[4.652529001235962, -511L]
[4.664083003997803, -40L]
[4.675750970840454, -1611L]
[4.687088966369629, -94L]
[4.698385000228882, -909L]
[4.710222959518433, -537L]
[4.7215540409088135, -199L]
[4.732938051223755, -163L]
[4.7445759773254395, -1821L]
[4.755815029144287, -773L]
[4.7680768966674805, 378L]
[4.7790210247039795, -379L]
[4.790280103683472, 1005L]
[4.802248001098633, -332L]
[4.813294887542725, -236L]
[4.824863910675049, -475L]
[4.836482048034668, -756L]
[4.847738027572632, 89L]
[4.85988187789917, -1818L]
[4.8709330558776855, -2336L]
[4.882203102111816, -1315L]
[4.894207954406738, 486L]
[4.9052228927612305, 1749L]
[4.916773080825806, 879L]
[4.92847204208374, -434L]
[4.939647912979126, -441L]
[4.951785087585449, -1328L]
[4.9628589153289795, -1806L]
[4.974133014678955, -2814L]
[4.986121892929077, -1205L]
[4.997147083282471, -838L]
[5.008729934692383, -1027L]
[5.020304918289185, -395L]
[5.031573057174683, -1303L]
[5.04370903968811, -1405L]
[5.054774045944214, -291L]
[5.066086053848267, 60L]
[5.0781190395355225, -1336L]
[5.0890820026397705, -481L]
[5.100625038146973, 1090L]
[5.112251043319702, 470L]
[5.123488903045654, 525L]
[5.135670900344849, -435L]
[5.146713972091675, -541L]
[5.1579649448394775, -364L]
[5.169945001602173, 988L]
[5.180985927581787, 30423L]
[5.192540884017944, 113628L]
[5.2041709423065186, 113381L]
[5.21540904045105, 211233L]
[5.22757887840271, 243898L]
[5.238687992095947, 246233L]
[5.249868869781494, 281783L]
[5.261924982070923, 289351L]
[5.272909879684448, 303952L]
[5.28446102142334, 276867L]
[5.296084880828857, 270041L]
[5.307327032089233, 316391L]
[5.319396018981934, 305264L]
[5.330522060394287, 304027L]
[5.3417909145355225, 317600L]
[5.353825092315674, 304062L]
[5.364831924438477, 327860L]
[5.376374006271362, 335699L]
[5.388041973114014, 369177L]
[5.399252891540527, 378758L]
[5.411314010620117, 397438L]
[5.422455072402954, 396827L]
[5.433703899383545, 396560L]
[5.445760011672974, 392095L]
[5.456754922866821, 378667L]
[5.468342065811157, 368678L]
[5.479889869689941, 351165L]
[5.491157054901123, 336384L]
[5.503232002258301, 323262L]
[5.514362096786499, 317809L]
[5.525616884231567, 316831L]
[5.537671089172363, 322095L]
[5.548698902130127, 330930L]
[5.560286045074463, 342269L]
[5.571813106536865, 354306L]
[5.583065986633301, 366171L]
[5.595272064208984, 378889L]
[5.606255054473877, 388776L]
[5.617531061172485, 390861L]
[5.629344940185547, 388075L]
[5.640512943267822, 378503L]
[5.652190923690796, 368576L]
[5.6637489795684814, 357161L]
[5.674983978271484, 345863L]
[5.687192916870117, 337309L]
[5.698246002197266, 330361L]
[5.709475040435791, 326660L]
[5.721271991729736, 328279L]
[5.7324419021606445, 332913L]
[5.744131088256836, 341301L]
[5.755656957626343, 352109L]
[5.766896963119507, 363285L]
[5.779165983200073, 1036211L]
[5.8411688804626465, 368148L]
[5.852564096450806, 356860L]
[5.864110946655273, 347929L]
[5.875688076019287, 342657L]
[5.88711404800415, 337427L]
[5.898400068283081, 335376L]
[5.910152912139893, 334665L]
[5.921571969985962, 337699L]
[5.932955980300903, 343845L]
[5.944583892822266, 351858L]
[5.955832004547119, 359781L]
[5.968070983886719, 365416L]
[5.979042053222656, 369657L]
[5.99029803276062, 373196L]
[6.002393007278442, 374149L]
[6.013360977172852, 371942L]
[6.024971008300781, 366499L]
[6.0364990234375, 361763L]
[6.0477519035339355, 355417L]
[6.059941053390503, 348526L]
[6.070952892303467, 343639L]
[6.082212924957275, 340113L]
[6.094044923782349, 338244L]
[6.105207920074463, 339011L]
[6.1168859004974365, 345470L]
[6.128482103347778, 351911L]
[6.139656066894531, 356092L]
[6.151886940002441, 360403L]
[6.1628639698028564, 366835L]
[6.1741368770599365, 369187L]
[6.185944080352783, 369687L]
[6.1971189975738525, 368816L]
[6.208838939666748, 364673L]
[6.220310926437378, 361809L]
[6.231580972671509, 356482L]
[6.2438108921051025, 350881L]
[6.25478196144104, 346837L]
[6.266047954559326, 344164L]
[6.277879953384399, 341040L]
[6.2890379428863525, 342652L]
[6.300716876983643, 347242L]
[6.31223201751709, 351015L]
[6.323498010635376, 355179L]
[6.335745096206665, 357543L]
[6.346705913543701, 360843L]
[6.3579699993133545, 363373L]
[6.36978006362915, 365135L]
[6.380950927734375, 367960L]
[6.392625093460083, 364401L]
[6.404170036315918, 360170L]
[6.415417909622192, 358143L]
[6.42762303352356, 354701L]
[6.438688039779663, 350591L]
[6.449886083602905, 349380L]
[6.461714029312134, 347684L]
[6.472872018814087, 344056L]
[6.484555006027222, 346060L]
[6.496095895767212, 347954L]
[6.507343053817749, 350458L]
[6.519567966461182, 355985L]
[6.530541896820068, 360240L]
[6.541810989379883, 362777L]
[6.553632020950317, 364215L]
[6.564795017242432, 366333L]
[6.576467037200928, 364560L]
[6.588069915771484, 361436L]
[6.599260091781616, 360585L]
[6.61145806312561, 357252L]
[6.622452020645142, 353271L]
[6.633727073669434, 351524L]
[6.645559072494507, 349598L]
[6.656713008880615, 347490L]
[6.668442010879517, 348490L]
[6.679915904998779, 350097L]
[6.691179037094116, 353404L]
[6.703397989273071, 356386L]
[6.714379072189331, 357433L]
[6.725643873214722, 358732L]
[6.737467050552368, 360573L]
[6.748671054840088, 362323L]
[6.7603089809417725, 362260L]
[6.771826982498169, 362505L]
[6.783092975616455, 361134L]
[6.7953290939331055, 356263L]
[6.806291103363037, 355558L]
[6.817569017410278, 353192L]
[6.829372882843018, 349324L]
[6.840595960617065, 349447L]
[6.852247953414917, 352064L]
[6.863774061203003, 352924L]
[6.8750159740448, 352680L]
[6.887216091156006, 352220L]
[6.8982930183410645, 355532L]
[6.9094860553741455, 358148L]
[6.921312093734741, 358616L]
[6.9324750900268555, 360879L]
[6.944150924682617, 360798L]
[6.955683946609497, 360642L]
[6.966943025588989, 359878L]
[6.979233980178833, 358181L]
[6.990132093429565, 356331L]
[7.001400947570801, 353698L]
[7.013221979141235, 351500L]
[7.024388074874878, 350247L]
[7.036065101623535, 352349L]
[7.047612905502319, 348821L]
[7.058861970901489, 303670L]
[7.071083068847656, 283349L]
[7.082062005996704, 324770L]
[7.093328952789307, 268777L]
[7.105141878128052, 271983L]
[7.1163129806518555, 274406L]
[7.12804102897644, 280879L]
[7.139488935470581, 305917L]
[7.150775909423828, 362320L]
[7.163003921508789, 386097L]
[7.1739890575408936, 390515L]
[7.185240030288696, 512815L]
[7.197059869766235, 558157L]
[7.208270072937012, 557127L]
[7.219909906387329, 588905L]
[7.231437921524048, 530301L]
[7.24269700050354, 512901L]
[7.254935026168823, 430930L]
[7.265897035598755, 370644L]
[7.277169942855835, 297753L]
[7.289031982421875, 240250L]
[7.3003599643707275, 204614L]
[7.311882972717285, 182529L]
[7.323335886001587, 195307L]
[7.334619045257568, 224515L]
[7.346488952636719, 273444L]
[7.357846975326538, 333452L]
[7.369318962097168, 401586L]
[7.3808228969573975, 456314L]
[7.392064094543457, 497984L]
[7.403806924819946, 517514L]
[7.415289878845215, 516088L]
[7.4265289306640625, 504618L]
[7.438530921936035, 468388L]
[7.4497389793396, 425310L]
[7.461008071899414, 373819L]
[7.472740888595581, 324880L]
[7.483985900878906, 281061L]
[7.49583888053894, 250308L]
[7.507216930389404, 233494L]
[7.51848292350769, 237319L]
[7.530217885971069, 259881L]
[7.541662931442261, 292808L]
[7.553026914596558, 337570L]
[7.564677953720093, 381613L]
[7.5759100914001465, 425593L]
[7.58809494972229, 457615L]
[7.599111080169678, 473876L]
[7.610368013381958, 479638L]
[7.6224260330200195, 467527L]
[7.633430004119873, 444189L]
[7.645126104354858, 411409L]
[7.656564950942993, 374071L]
[7.667824029922485, 336487L]
[7.680056095123291, 304630L]
[7.691029071807861, 280388L]
[7.702293872833252, 270809L]
[7.714112043380737, 270666L]
