Presion inicial: 150 psi, presion de trabajo 80 psi
Ciclos de apertura y cierre cada segundo
Fecha: 22-Feb-2019.
Tiempo	Ciclos
------------------------
1.00137090683	0
2.00271701813	1
3.00401496887	2
4.0053088665	3
5.00656485558	4
6.00787496567	5
7.0091958046	6
8.01049995422	7
9.01178503036	8
10.0130839348	9
11.0149919987	10
12.0163359642	11
13.0176239014	12
14.0188779831	13
15.0201518536	14
16.0214428902	15
17.0227208138	16
18.0240340233	17
19.0253210068	18
20.0265619755	19
21.0281469822	20
22.029460907	21
23.0308198929	22
24.0321199894	23
25.0334198475	24
26.0346939564	25
27.0360159874	26
28.037309885	27
29.0385639668	28
30.0398550034	29
31.0413708687	30
32.0426659584	31
33.0439779758	32
34.0452578068	33
35.0465018749	34
36.0477750301	35
37.0491399765	36
38.0504229069	37
39.0517299175	38
40.0530188084	39
41.0545768738	40
42.0559818745	41
43.0572957993	42
44.0585858822	43
45.0598978996	44
46.0611979961	45
47.0625138283	46
48.0637938976	47
49.0650718212	48
50.0663568974	49
51.0678899288	50
52.0692539215	51
53.0705888271	52
54.0718829632	53
55.0731430054	54
56.0744400024	55
57.0757148266	56
58.0769917965	57
59.0782768726	58
60.0795488358	59
61.0810890198	60
62.0823960304	61
63.0836808681	62
64.0849728584	63
65.086247921	64
66.0875399113	65
67.0888359547	66
68.0901169777	67
69.0913589001	68
70.0926070213	69
71.0941488743	70
72.0954699516	71
73.0967550278	72
74.0980298519	73
75.0993328094	74
76.1006288528	75
77.1019258499	76
78.1032028198	77
79.1044888496	78
80.105768919	79
81.107364893	80
82.1086540222	81
83.1099538803	82
84.1112129688	83
85.1124830246	84
86.1137588024	85
87.1150557995	86
88.1163358688	87
89.1176199913	88
90.1188979149	89
91.1204268932	90
92.1217398643	91
93.1230518818	92
94.1243870258	93
95.12566185	94
96.1269450188	95
97.1282289028	96
98.129529953	97
99.1307837963	98
100.132038832	99
101.133564949	100
102.134840012	101
103.136102915	102
104.137385845	103
105.138662815	104
106.139930964	105
107.141233921	106
108.142549992	107
109.143815994	108
110.145063877	109
111.146577835	110
112.147882938	111
113.149163008	112
114.150385857	113
115.151623964	114
116.152889967	115
117.154122829	116
118.155370951	117
119.156624794	118
120.157859802	119
121.159390926	120
122.160670996	121
123.161925793	122
124.163178921	123
125.164426804	124
126.165673018	125
127.166955948	126
128.16823101	127
129.169471025	128
130.170720816	129
131.17223382	130
132.173482895	131
133.17472291	132
134.175994873	133
135.177240849	134
136.178552866	135
137.179826021	136
138.181080818	137
139.18234086	138
140.183588982	139
141.185114861	140
142.18640089	141
143.187693834	142
