None
None
[0.0011229515075683594, 399L]
[0.004251956939697266, -1337L]
[0.01576089859008789, -703L]
[0.027560949325561523, 5923L]
[0.03888988494873047, 2420L]
[0.05019807815551758, 2687L]
[0.061480045318603516, 3266L]
[0.07328104972839355, 895L]
[0.08465409278869629, -1560L]
[0.09618091583251953, 7655L]
[0.10777091979980469, 29092L]
[0.11891603469848633, 131617L]
[0.13095593452453613, 134519L]
[0.19360899925231934, -75868L]
[0.20499396324157715, -239324L]
[0.21654891967773438, -170902L]
[0.22826194763183594, -251956L]
[0.23956894874572754, -236322L]
[0.2508540153503418, -214742L]
[0.2626969814300537, -151586L]
[0.2740139961242676, -67631L]
[0.28538990020751953, 18029L]
[0.2970240116119385, 96063L]
[0.30826807022094727, 156918L]
[0.320404052734375, 191677L]
[0.3314700126647949, 191249L]
[0.3427269458770752, 162313L]
[0.3547170162200928, 105467L]
[0.365825891494751, 34050L]
[0.37740397453308105, -42499L]
[0.3889470100402832, -108741L]
[0.4001948833465576, -159928L]
[0.4123239517211914, -183796L]
[0.42338991165161133, -183567L]
[0.43465304374694824, -152227L]
[0.4465970993041992, -101200L]
[0.4576699733734131, -39479L]
[0.4693288803100586, 25027L]
[0.4809260368347168, 82151L]
[0.5434660911560059, 40866L]
[0.5548510551452637, -14359L]
[0.5664029121398926, -66078L]
[0.5781440734863281, -108185L]
[0.5894260406494141, -132264L]
[0.6007170677185059, -134873L]
[0.6127190589904785, -119535L]
[0.6238820552825928, -88117L]
[0.6351470947265625, -44539L]
[0.6471190452575684, 1875L]
[0.658257007598877, 47329L]
[0.66982102394104, 79436L]
[0.6813530921936035, 98391L]
[0.6926078796386719, 100238L]
[0.7047019004821777, 85175L]
[0.71579909324646, 56434L]
[0.7270739078521729, 15050L]
[0.7389309406280518, -25305L]
[0.7500779628753662, -62825L]
[0.7617480754852295, -89787L]
[0.7732670307159424, -104122L]
[0.7845358848571777, -100693L]
[0.7966430187225342, -83025L]
[0.8077409267425537, -55125L]
[0.8190009593963623, -21270L]
[0.8309359550476074, 11910L]
[0.8420150279998779, 42312L]
[0.8536760807037354, 62382L]
[0.8651940822601318, 72433L]
[0.8764619827270508, 68666L]
[0.8885669708251953, 52159L]
[0.8996789455413818, 26621L]
[0.9109570980072021, -2406L]
[0.9227979183197021, -31613L]
[0.9339289665222168, -57885L]
[0.9456040859222412, -74960L]
[0.9571480751037598, -77441L]
[0.9684219360351562, -72473L]
[0.9805560111999512, -55787L]
[0.991602897644043, -31597L]
[1.0028719902038574, -4786L]
[1.01472806930542, 17765L]
[1.0258569717407227, 37410L]
[1.0375409126281738, 50810L]
[1.049062967300415, 51825L]
[1.0603430271148682, 44088L]
[1.072434902191162, 27902L]
[1.0835518836975098, 8468L]
