None
None
[0.0010330677032470703, 12254L]
[0.005280017852783203, 12827L]
[0.016809940338134766, 12444L]
[0.028476953506469727, 11064L]
[0.039730072021484375, 9847L]
[0.05119013786315918, 8941L]
[0.06288909912109375, 8366L]
[0.07419705390930176, 10059L]
[0.0856630802154541, 9139L]
[0.09736013412475586, 11294L]
[0.10865902900695801, 10774L]
[0.12032508850097656, 12228L]
[0.13179993629455566, 12202L]
[0.14313602447509766, 10487L]
[0.15482401847839355, 10052L]
[0.16616392135620117, 10803L]
[0.17756199836730957, 10818L]
[0.18951702117919922, 10452L]
[0.2008070945739746, 10636L]
[0.21220111846923828, 11133L]
[0.22387909889221191, 11059L]
[0.23528695106506348, 11984L]
[0.24714994430541992, 12037L]
[0.25826406478881836, 11340L]
[0.2695040702819824, 9146L]
[0.2813129425048828, 9027L]
[0.29271697998046875, 10392L]
[0.3041880130767822, 10412L]
[0.31573009490966797, 10146L]
[0.32698798179626465, 10485L]
[0.3392150402069092, 10673L]
[0.4018270969390869, 11165L]
[0.4132370948791504, 9758L]
[0.42478513717651367, 9963L]
[0.4364359378814697, 13348L]
[0.44779109954833984, 13547L]
[0.45906901359558105, 12785L]
[0.47083210945129395, 10047L]
[0.48226308822631836, 9292L]
[0.49360108375549316, 9628L]
[0.5052609443664551, 10071L]
[0.5165131092071533, 12330L]
[0.5288000106811523, 12191L]
[0.5396950244903564, 13978L]
[0.5509870052337646, 12769L]
[0.5630490779876709, 11221L]
[0.5740771293640137, 10828L]
[0.5856640338897705, 9975L]
[0.5971980094909668, 11075L]
[0.6084320545196533, 12292L]
[0.6207330226898193, 12333L]
[0.6316499710083008, 11775L]
[0.6429131031036377, 11782L]
[0.6548020839691162, 11216L]
[0.6659080982208252, 11267L]
[0.6775679588317871, 11705L]
[0.6891090869903564, 11256L]
[0.7003591060638428, 12089L]
[0.7126729488372803, 11338L]
[0.7235610485076904, 10693L]
[0.7348470687866211, 11024L]
[0.746751070022583, 62875L]
[0.8091659545898438, 12374L]
[0.8205530643463135, 10902L]
[0.8321099281311035, 10897L]
[0.8436870574951172, 11282L]
[0.8551120758056641, 10001L]
[0.8663971424102783, 11051L]
[0.8781659603118896, 10704L]
[0.8895590305328369, 11807L]
[0.9009690284729004, 11964L]
[0.9125900268554688, 11174L]
[0.9238491058349609, 11774L]
[0.9361889362335205, 12580L]
[0.9470679759979248, 11546L]
[0.958327054977417, 13140L]
[0.970391035079956, 12930L]
[0.981356143951416, 12964L]
[0.9929239749908447, 13819L]
[1.0045289993286133, 12143L]
[1.0157759189605713, 11409L]
[1.028080940246582, 9912L]
[1.0389690399169922, 11834L]
[1.0502450466156006, 12749L]
[1.0623879432678223, 11005L]
[1.0732741355895996, 10571L]
[1.0848541259765625, 12417L]
[1.096519947052002, 11437L]
[1.1077001094818115, 11280L]
[1.1199610233306885, 11642L]
[1.1309230327606201, 11372L]
[1.1422009468078613, 12212L]
[1.1542611122131348, 11739L]
[1.1652231216430664, 11085L]
[1.1768169403076172, 11989L]
[1.1888420581817627, 12191L]
