None
None
[0.0009810924530029297, 6567L]
[0.010705947875976562, 6338L]
[0.022403955459594727, 3288L]
[0.03433108329772949, 1981L]
[0.04538702964782715, 1824L]
[0.05666303634643555, 4451L]
[0.06814098358154297, 1694L]
[0.08023691177368164, -1254L]
[0.09137701988220215, -313L]
[0.10265302658081055, 3685L]
[0.11448788642883301, 1271L]
[0.12590289115905762, 1620L]
[0.13735389709472656, 3570L]
[0.14893198013305664, 1954L]
[0.1601250171661377, 3757L]
[0.1719808578491211, 3339L]
[0.18334388732910156, 2639L]
[0.19474387168884277, 4712L]
[0.20656895637512207, 1219L]
[0.2176508903503418, 1785L]
[0.22948098182678223, 2618L]
[0.24082207679748535, 665L]
[0.2520768642425537, 1788L]
[0.2640869617462158, 1609L]
[0.27519798278808594, 3466L]
[0.28673887252807617, 2757L]
[0.29828405380249023, 1168L]
[0.30954909324645996, 1757L]
[0.321699857711792, 1725L]
[0.3327620029449463, 1428L]
[0.3440248966217041, 1885L]
[0.3558619022369385, 485L]
[0.3670210838317871, 853L]
[0.3786919116973877, 699L]
[0.3902449607849121, -528L]
[0.40149807929992676, 2229L]
[0.4136378765106201, 3054L]
[0.42478394508361816, 2706L]
[0.4359889030456543, 2839L]
[0.44783997535705566, 1777L]
[0.45898985862731934, 1826L]
[0.47064685821533203, 1310L]
[0.48224306106567383, -664L]
[0.49365997314453125, 2404L]
[0.5056130886077881, 4158L]
[0.5166740417480469, 1479L]
[0.5279560089111328, 2533L]
[0.5398099422454834, 2207L]
[0.5509679317474365, 1734L]
[0.5626158714294434, 4443L]
[0.574225902557373, 2314L]
[0.58542799949646, 932L]
[0.5976018905639648, 2009L]
[0.608618974685669, 1441L]
[0.6199119091033936, 1320L]
[0.6317689418792725, 451L]
[0.642909049987793, 2651L]
[0.6546270847320557, 4409L]
[0.6661059856414795, 598L]
[0.6773819923400879, 2198L]
[0.6895589828491211, 3822L]
[0.7005729675292969, 2148L]
[0.711871862411499, 3435L]
[0.7236990928649902, -170L]
[0.7348790168762207, 39L]
[0.7465260028839111, 2678L]
[0.7580749988555908, 910L]
[0.7693400382995605, 2475L]
[0.7814910411834717, 2381L]
[0.7925488948822021, 210L]
[0.8038229942321777, 1282L]
[0.8156678676605225, 329L]
[0.82682204246521, 734L]
[0.838494062423706, 2665L]
[0.8500409126281738, 1118L]
[0.8612990379333496, 1699L]
[0.8734519481658936, 2279L]
[0.8845779895782471, 1613L]
[0.8957819938659668, 1887L]
[0.9076399803161621, 70L]
[0.918781042098999, 2087L]
[0.9304468631744385, 4008L]
[0.9420070648193359, 2915L]
[0.9532649517059326, 2357L]
[0.9654788970947266, 1466L]
[0.9764730930328369, 1006L]
[0.9877479076385498, 1498L]
[0.9995858669281006, 1275L]
[1.0107550621032715, 2334L]
[1.0224108695983887, 3197L]
[1.033966064453125, 458L]
[1.0452299118041992, 765L]
[1.057408094406128, 798L]
[1.0684359073638916, -212L]
[1.0797040462493896, 2101L]
[1.091559886932373, 401L]
[1.102705955505371, 314L]
[1.1144399642944336, 2897L]
[1.125910997390747, 1648L]
[1.1371750831604004, 2203L]
[1.1493499279022217, 573L]
[1.1603870391845703, 55L]
[1.1716690063476562, 2832L]
[1.1835029125213623, 514L]
[1.194694995880127, 137L]
[1.2063369750976562, 1262L]
[1.2178599834442139, -871L]
[1.229158878326416, 1671L]
[1.2413289546966553, 2787L]
[1.2523648738861084, 23L]
[1.2636210918426514, 1837L]
[1.2754619121551514, 2244L]
[1.2866220474243164, 2801L]
[1.298285961151123, 2917L]
[1.3098828792572021, 611L]
[1.3212790489196777, 1174L]
[1.333277940750122, 2429L]
[1.3443748950958252, 855L]
[1.3555848598480225, 2976L]
[1.3674230575561523, 2490L]
[1.3785769939422607, 1227L]
[1.3902418613433838, 2511L]
[1.4017999172210693, 1284L]
[1.4130558967590332, 2452L]
[1.4252800941467285, 1759L]
[1.436264991760254, -235L]
[1.447537899017334, 1062L]
[1.4593830108642578, 589L]
[1.470531940460205, 763L]
[1.4821970462799072, 1126L]
[1.4937660694122314, 1178L]
[1.5050199031829834, 2260L]
[1.5171608924865723, 585L]
[1.5282280445098877, 386L]
[1.539496898651123, 2226L]
[1.551339864730835, -237L]
[1.5625, 536L]
[1.5742199420928955, 2985L]
[1.585697889328003, 1175L]
[1.596971035003662, 1571L]
[1.6091458797454834, 2661L]
[1.6201860904693604, 606L]
[1.631458044052124, 1002L]
[1.6433019638061523, 401L]
[1.6544930934906006, -242L]
[1.666111946105957, 1995L]
[1.6776468753814697, 1599L]
[1.6889278888702393, 2123L]
[1.7010419368743896, 2517L]
[1.7121360301971436, 1158L]
[1.7234129905700684, 3838L]
[1.7352550029754639, 1279L]
[1.746424913406372, 455L]
[1.7580809593200684, 642L]
[1.7696290016174316, -1098L]
[1.780885934829712, 326L]
[1.7930469512939453, 477L]
[1.804171085357666, 1276L]
[1.8153760433197021, 3370L]
[1.82722806930542, 1394L]
[1.8383710384368896, 61L]
[1.8500099182128906, 621L]
[1.8615870475769043, -140L]
[1.872847080230713, 2494L]
[1.8850629329681396, 1553L]
[1.896049976348877, 251L]
[1.9073259830474854, 2013L]
[1.919184923171997, 1971L]
[1.9303388595581055, 2879L]
[1.9419939517974854, 3506L]
[1.9535388946533203, 1702L]
[1.9648089408874512, 3797L]
[1.9769940376281738, 2645L]
[1.9879989624023438, 1283L]
[1.9992949962615967, 2861L]
[2.011137008666992, 1143L]
[2.022296905517578, 1805L]
[2.033935070037842, 2200L]
[2.0454928874969482, 947L]
[2.0567619800567627, 1348L]
[2.0689570903778076, 1502L]
[2.0799598693847656, 220L]
[2.0912370681762695, 2835L]
[2.1030988693237305, 2020L]
[2.1142709255218506, 1900L]
[2.125894069671631, 3355L]
[2.137434959411621, 1107L]
[2.148715019226074, 1179L]
[2.1608989238739014, 276L]
[2.171923875808716, -250L]
[2.183198928833008, 2414L]
[2.1950790882110596, 318L]
[2.20619797706604, 709L]
[2.2178568840026855, 1654L]
[2.229412078857422, 185L]
[2.240669012069702, 1442L]
[2.2528340816497803, 467L]
[2.2639009952545166, -1085L]
[2.2751550674438477, 259L]
[2.2870070934295654, -275L]
[2.298151969909668, 124L]
[2.309814929962158, 1998L]
[2.3213679790496826, 1269L]
[2.3326330184936523, 3314L]
[2.3448948860168457, 4717L]
[2.4072329998016357, 1469L]
[2.4186198711395264, -1282L]
[2.4301910400390625, -1217L]
[2.4418060779571533, -1379L]
[2.45320987701416, 86L]
[2.4645090103149414, 3047L]
[2.476249933242798, 1511L]
[2.4876840114593506, 1611L]
[2.4990670680999756, 2177L]
[2.510698080062866, 421L]
[2.521960973739624, 612L]
[2.5338470935821533, 922L]
[2.5451738834381104, -884L]
[2.556436061859131, 2200L]
[2.568387985229492, 1227L]
[2.5795738697052, -2L]
[2.5910980701446533, 767L]
[2.602653980255127, -189L]
[2.6139209270477295, 2237L]
[2.6260979175567627, 2899L]
[2.6371219158172607, 868L]
[2.648400068283081, 2266L]
[2.6602559089660645, 628L]
[2.6714088916778564, 1007L]
[2.6830670833587646, 2924L]
[2.6946780681610107, 1570L]
[2.7058749198913574, 2483L]
[2.7180168628692627, 993L]
[2.729109048843384, -40L]
[2.740367889404297, 2361L]
[2.7522130012512207, 2568L]
[2.763361930847168, 1428L]
[2.775024890899658, 2245L]
[2.7865560054779053, 1040L]
[2.7978429794311523, 1350L]
[2.809688091278076, 1644L]
[2.8210670948028564, 1948L]
[2.8323280811309814, 3881L]
[2.8441600799560547, 2647L]
[2.8553240299224854, 2150L]
[2.866973876953125, 3543L]
[2.8785269260406494, 1394L]
[2.889802932739258, 3331L]
[2.9018709659576416, 2355L]
[2.9130189418792725, -577L]
[2.924304962158203, 3297L]
[2.9360640048980713, 1805L]
[2.947283983230591, 2216L]
[2.958981990814209, 3162L]
[2.9705119132995605, 1486L]
[2.9826080799102783, 2061L]
[2.9938368797302246, 680L]
[3.0050299167633057, 478L]
[3.016242027282715, 3593L]
[3.028033971786499, 1729L]
[3.039294958114624, 2053L]
[3.050931930541992, 2398L]
[3.062483072280884, 441L]
[3.073746919631958, 2650L]
[3.0858280658721924, 1524L]
[3.096953868865967, -114L]
[3.1082160472869873, 3172L]
[3.119997024536133, 1384L]
[3.1312148571014404, 1795L]
[3.1428980827331543, 3783L]
[3.154500961303711, 757L]
[3.165688991546631, 1861L]
[3.1777679920196533, 1600L]
[3.188904047012329, 1132L]
[3.2001700401306152, 3240L]
[3.2119719982147217, 883L]
[3.223175048828125, 1197L]
[3.234895944595337, 2179L]
[3.2463910579681396, 1742L]
[3.2576498985290527, 1992L]
[3.269744873046875, 1829L]
[3.2808749675750732, 1257L]
[3.292149066925049, 1217L]
[3.3039209842681885, -345L]
[3.315142869949341, 1422L]
[3.3268229961395264, 1531L]
[3.3383519649505615, 380L]
[3.3496170043945312, 3176L]
[3.361691951751709, 2343L]
[3.3728389739990234, 22L]
[3.3841230869293213, 2739L]
[3.395875930786133, 1503L]
[3.407089948654175, 2282L]
[3.418776035308838, 3038L]
[3.4303250312805176, 773L]
[3.441570997238159, 1383L]
[3.453636884689331, 2323L]
[3.4648640155792236, 7332461L]
[3.5272040367126465, -416L]
[3.5386030673980713, 1059L]
[3.5501558780670166, 1471L]
[3.561738967895508, 2296L]
[3.5731730461120605, 1918L]
[3.584480047225952, 1527L]
[3.596203088760376, 415L]
[3.607661008834839, 1806L]
[3.6190309524536133, 4265L]
[3.6306779384613037, 3923L]
[3.6419219970703125, 3383L]
[3.6540329456329346, 1751L]
[3.6651370525360107, 845L]
[3.6764068603515625, 2144L]
[3.6884028911590576, 1190L]
[3.699483871459961, 1912L]
[3.711085081100464, 3094L]
[3.7226250171661377, 679L]
[3.733883857727051, 1892L]
[3.7459778785705566, 2239L]
[3.7570960521698, 1036L]
[3.768362045288086, 2046L]
[3.784226894378662, -60L]
[3.791619062423706, -475L]
[3.8030779361724854, 1391L]
[3.814655065536499, 25197L]
[3.87719988822937, 2282L]
[3.888593912124634, 1994L]
[3.9001588821411133, 486L]
[3.911760091781616, 702L]
[3.9231770038604736, 2055L]
[3.934483051300049, 3258L]
[3.9462080001831055, 737L]
[3.9576609134674072, 739L]
[3.969045877456665, 3264L]
[3.980670928955078, 1245L]
[3.9919350147247314, 1708L]
[4.003850936889648, 3113L]
[4.01515007019043, 2230L]
[4.026417970657349, 1300L]
[4.0383710861206055, 1296L]
[4.049536943435669, 663L]
[4.0610740184783936, 2528L]
[4.072632074356079, 1907L]
[4.083889961242676, 1826L]
[4.096035003662109, 2430L]
[4.107096910476685, 1381L]
[4.118376970291138, 2133L]
[4.1302330493927, 479L]
[4.14137601852417, 2003L]
[4.153040885925293, 2982L]
[4.164649963378906, 1620L]
[4.175857067108154, 2526L]
[4.188015937805176, 1305L]
[4.1990580558776855, 86L]
[4.210334062576294, 3843L]
[4.222178936004639, 3421L]
[4.233330965042114, 1628L]
[4.245002031326294, 1442L]
[4.256525993347168, 1060L]
[4.2678070068359375, 440L]
[4.279991865158081, -28L]
[4.2910120487213135, 1003L]
[4.3022918701171875, 2845L]
[4.314100027084351, 1093L]
[4.325486898422241, 1388L]
[4.336977005004883, 3802L]
[4.348483085632324, 2457L]
[4.359771966934204, 2339L]
[4.371623992919922, 911L]
[4.3829638957977295, 609L]
[4.394273996353149, 3353L]
[4.405969858169556, 1960L]
[4.417234897613525, 1640L]
[4.429034948348999, 2265L]
[4.440440893173218, 785L]
[4.451714038848877, 2246L]
[4.4634928703308105, 712L]
[4.474963903427124, 174L]
[4.486298084259033, 2424L]
[4.498004913330078, 2652L]
[4.509198904037476, 2780L]
[4.521106958389282, 3164L]
[4.532413959503174, 2137L]
[4.543674945831299, 1570L]
[4.555625915527344, 1734L]
[4.566772937774658, 1818L]
[4.578337907791138, 2300L]
[4.589897871017456, 944L]
[4.601154088973999, 2330L]
[4.613309860229492, 1719L]
[4.624425888061523, 1877L]
[4.687182903289795, 590L]
[4.698585033416748, 1056L]
[4.7101569175720215, 543L]
[4.721674919128418, 525L]
[4.733164072036743, 1720L]
[4.744473934173584, 3410L]
[4.756133079528809, 1305L]
[4.7676379680633545, -1386L]
[4.77892804145813, 1208L]
[4.790811061859131, 2513L]
[4.802134990692139, 1060L]
[4.813410043716431, 2741L]
[4.825134038925171, 752L]
[4.836405038833618, 1493L]
[4.848185062408447, 2061L]
[4.859601974487305, 391L]
[4.8708930015563965, 2040L]
[4.882643938064575, 1512L]
[4.8941168785095215, 1760L]
[4.905466079711914, 3476L]
[4.9170989990234375, 1493L]
[4.92835807800293, 1036L]
[4.940279006958008, 2255L]
[4.951575994491577, 3332L]
[4.962852954864502, 4383L]
[4.974873065948486, 2545L]
[4.985944032669067, 1753L]
[4.997499942779541, 2136L]
[5.009060859680176, -600L]
[5.02032208442688, 548L]
[5.032480001449585, 141L]
[5.043546915054321, -492L]
[5.054811954498291, 2431L]
[5.066633939743042, 1910L]
[5.077805995941162, 518L]
[5.089468955993652, 1054L]
[5.101013898849487, 2327L]
[5.112282991409302, 4669L]
[5.1245200634002686, 3866L]
[5.1354899406433105, 2511L]
[5.146766901016235, 3975L]
[5.158613920211792, 1345L]
[5.1697609424591064, 1790L]
[5.181428909301758, 2368L]
[5.192981004714966, 4L]
[5.204259872436523, 879L]
[5.216391086578369, 1535L]
[5.2274489402771, 1423L]
[5.238723039627075, 4602L]
[5.250546932220459, 2222L]
[5.261729955673218, 1016L]
[5.2733800411224365, 1990L]
[5.284992933273315, -442L]
[5.296205043792725, 983L]
[5.308373928070068, 1125L]
[5.319411039352417, 1030L]
[5.330687999725342, 3476L]
[5.34253191947937, 1276L]
[5.353705883026123, 1011L]
[5.365360975265503, 1991L]
[5.3768908977508545, 964L]
[5.388166904449463, 1964L]
[5.40029501914978, 2532L]
[5.411376953125, 269L]
[5.422658920288086, 2811L]
[5.434525966644287, 2157L]
[5.497222900390625, 188L]
[5.508620023727417, 596L]
[5.5201640129089355, 1024L]
[5.531764984130859, 794L]
[5.543169021606445, 2025L]
[5.554481029510498, 3545L]
[5.566210031509399, 1534L]
[5.577662944793701, 494L]
[5.589039087295532, 3250L]
[5.600656032562256, 934L]
[5.6119349002838135, 1950L]
[5.623849868774414, 966L]
[5.63515305519104, 869L]
[5.646422863006592, 2407L]
[5.658389091491699, 785L]
[5.66952109336853, 195L]
[5.681081056594849, 3222L]
[5.692636013031006, 1928L]
[5.703907012939453, 1429L]
[5.7160398960113525, 1224L]
[5.727088928222656, 1396L]
[5.7383809089660645, 4292L]
[5.750180959701538, 2706L]
[5.761386871337891, 1512L]
[5.773046016693115, 2541L]
[5.7847230434417725, 826L]
[5.7959558963775635, 2554L]
[5.8080360889434814, 2251L]
[5.819071054458618, 1226L]
[5.8303608894348145, 3430L]
[5.842185020446777, 7049L]
[5.853374004364014, 82149L]
[5.865019083023071, 124791L]
[5.876542091369629, 68096L]
[5.887822866439819, 131400L]
[5.899990081787109, 130685L]
[5.91103196144104, 154827L]
[5.922312021255493, 158988L]
[5.9341959953308105, 171433L]
[5.9453229904174805, 167854L]
[5.956974983215332, 169222L]
[5.968504905700684, 177306L]
[5.979784965515137, 194294L]
[5.991956949234009, 209573L]
[6.003000974655151, 228928L]
[6.014304876327515, 250752L]
[6.0261170864105225, 263241L]
[6.037276983261108, 282532L]
[6.048932075500488, 320887L]
[6.060482978820801, 342815L]
[6.071743965148926, 372314L]
[6.08387303352356, 315427L]
[6.095000982284546, 366350L]
[6.106271982192993, 444935L]
[6.118102073669434, 393603L]
[6.129251003265381, 445130L]
