None
None
[0.0011401176452636719, 1085L]
[0.005073070526123047, -328L]
[0.016543149948120117, -454L]
[0.028045177459716797, -465L]
[0.039489030838012695, 1363L]
[0.050965070724487305, -1594L]
[0.06235098838806152, -1704L]
[0.0739741325378418, -1048L]
[0.0853571891784668, -1998L]
[0.09716105461120605, -3051L]
[0.10836219787597656, -767L]
[0.11960411071777344, -2246L]
[0.13152098655700684, -1320L]
[0.1427931785583496, -263L]
[0.15428614616394043, -865L]
[0.16582512855529785, -364L]
[0.17704105377197266, 1195L]
[0.18893718719482422, -309L]
[0.20031404495239258, -1193L]
[0.21149206161499023, -1129L]
[0.22330021858215332, 476L]
[0.2344670295715332, 1119L]
[0.2463390827178955, -1633L]
[0.25768208503723145, -1876L]
[0.26892518997192383, -21L]
[0.2807810306549072, -428L]
[0.29212307929992676, -1274L]
[0.3034842014312744, -587L]
[0.3151130676269531, -583L]
[0.32636117935180664, -675L]
[0.3384850025177002, -1132L]
[0.3495662212371826, -2393L]
[0.36081600189208984, -1969L]
[0.3728041648864746, -1767L]
[0.3838660717010498, -1990L]
[0.39539313316345215, -1063L]
[0.4070119857788086, -1317L]
[0.4182610511779785, -1390L]
[0.4304220676422119, -244L]
[0.4414541721343994, -632L]
[0.4527101516723633, -1902L]
[0.4647061824798584, -3381L]
[0.47589111328125, -392L]
[0.4874281883239746, 63L]
[0.49890708923339844, -1472L]
[0.5102400779724121, -372L]
[0.5222780704498291, -650L]
[0.5333201885223389, -1400L]
[0.5445940494537354, -1760L]
[0.5564241409301758, -2466L]
[0.5675830841064453, -2073L]
[0.579254150390625, -1505L]
[0.5908441543579102, -1441L]
[0.6020381450653076, -547L]
[0.6141819953918457, -201L]
[0.625216007232666, -1405L]
[0.6364791393280029, -2313L]
[0.6483111381530762, -1987L]
[0.6594610214233398, -118L]
[0.6711411476135254, 57L]
[0.682664155960083, 299L]
[0.6939241886138916, -2200L]
[0.7060561180114746, -2844L]
[0.7171051502227783, -2078L]
[0.7283680438995361, -3291L]
[0.7402350902557373, -2154L]
[0.7513570785522461, -1467L]
[0.7630372047424316, -1032L]
[0.7745621204376221, -278L]
[0.7858090400695801, -680L]
[0.7979462146759033, -710L]
[0.8090159893035889, -923L]
[0.8202900886535645, -552L]
[0.8320701122283936, 177L]
[0.8432462215423584, -1809L]
[0.8549342155456543, -2820L]
[0.8664500713348389, -2065L]
[0.8777050971984863, -2081L]
[0.8898301124572754, -2508L]
[0.9009571075439453, -3242L]
[0.9121580123901367, -2396L]
[0.9239771366119385, -1703L]
[0.9351451396942139, 265L]
[0.9468071460723877, -66L]
[0.9583580493927002, -229L]
[0.9695911407470703, -201L]
[0.9817440509796143, -1429L]
[0.9927821159362793, -2483L]
[1.0040462017059326, -2202L]
[1.0158731937408447, -2215L]
[1.0270299911499023, -2530L]
[1.0387060642242432, -2576L]
[1.0502769947052002, -1775L]
[1.0614800453186035, -117L]
[1.0735931396484375, -388L]
[1.084672212600708, -2955L]
[1.095933198928833, -2115L]
[1.1077570915222168, -820L]
[1.1189210414886475, -922L]
[1.1306540966033936, -221L]
[1.1421160697937012, -260L]
[1.1533691883087158, -2064L]
[1.1655011177062988, -1935L]
[1.1765611171722412, -1522L]
[1.1878211498260498, -1042L]
[1.1996641159057617, -1081L]
[1.2108240127563477, -1807L]
[1.2225241661071777, -2647L]
[1.2339990139007568, -2549L]
[1.2452561855316162, -1919L]
[1.2573621273040771, -630L]
[1.2684581279754639, -1027L]
[1.2797191143035889, -2088L]
[1.291534185409546, -2389L]
[1.3027009963989258, -1726L]
[1.3143730163574219, -1458L]
[1.3259220123291016, -2434L]
[1.337156057357788, -2799L]
[1.3492341041564941, -2341L]
[1.3604261875152588, -1388L]
[1.3716070652008057, -441L]
[1.3834750652313232, 27L]
[1.3946011066436768, 1630L]
[1.4062860012054443, -609L]
[1.4178111553192139, -999L]
[1.4290440082550049, 730L]
[1.441256046295166, 7331294L]
[1.5032410621643066, -1738L]
[1.5146570205688477, -1941L]
[1.5261859893798828, -1169L]
[1.5377771854400635, -2037L]
[1.5491859912872314, -966L]
