None
None
[0.006587028503417969, 2255L]
[0.014262199401855469, 2389L]
[0.026020050048828125, -518L]
[0.037455081939697266, 1253L]
[0.048693180084228516, 696L]
[0.05995011329650879, 2841L]
[0.07203197479248047, 2929L]
[0.0831451416015625, 1593L]
[0.09439611434936523, 802L]
[0.1062631607055664, 1035L]
[0.11759400367736816, 540L]
[0.12909913063049316, 1882L]
[0.14086103439331055, 3089L]
[0.15204405784606934, 981L]
[0.16386198997497559, 1734L]
[0.1750621795654297, 2704L]
[0.18631815910339355, 557L]
[0.19806408882141113, -828L]
[0.20951104164123535, 917L]
[0.2210531234741211, 1025L]
[0.23251914978027344, -245L]
[0.24376702308654785, 697L]
[0.2557101249694824, 1178L]
[0.2669692039489746, 528L]
[0.27825117111206055, 582L]
[0.28996920585632324, 1620L]
[0.3012351989746094, 1574L]
[0.3130002021789551, 1675L]
[0.3244211673736572, -906L]
[0.33571815490722656, 499L]
[0.3474080562591553, -593L]
[0.3588700294494629, 443L]
[0.37024617195129395, 1788L]
[0.38187718391418457, 2377L]
[0.3931281566619873, 405L]
[0.4050600528717041, -494L]
[0.4163951873779297, 669L]
[0.42760300636291504, 2059L]
[0.4395730495452881, 1308L]
[0.4507021903991699, 1165L]
[0.4622471332550049, 1216L]
[0.47379302978515625, -1112L]
[0.4850480556488037, 477L]
[0.4971601963043213, 978L]
[0.5082371234893799, 536L]
[0.5195159912109375, 970L]
[0.5313601493835449, 669L]
[0.542518138885498, 516L]
[0.5541770458221436, -199L]
[0.5657880306243896, -1064L]
[0.5769751071929932, 1258L]
[0.5891151428222656, 2206L]
[0.6001651287078857, 1139L]
[0.6114311218261719, 1037L]
[0.623284101486206, 1350L]
[0.6344361305236816, 2263L]
[0.6461319923400879, 2294L]
[0.6576061248779297, 1857L]
[0.6688799858093262, 2379L]
[0.681020975112915, 1010L]
[0.6920740604400635, 517L]
[0.7033481597900391, 1785L]
[0.7151961326599121, 1368L]
[0.7263541221618652, 1133L]
[0.7380139827728271, 418L]
[0.7495419979095459, 96L]
[0.7608041763305664, 1167L]
[0.772942066192627, 956L]
[0.7840101718902588, 1280L]
[0.7952821254730225, 2136L]
[0.8071231842041016, 1848L]
[0.8182671070098877, 1291L]
